,Name,Link,Year,Publisher,Platform
25263,capturas,https://www.uvlist.net/game-46557-Capturas,?,?,Amstrad CPC
25264,capture,https://www.uvlist.net/game-44276-Capture,1982,Emerson Radio,Arcadia 2001
25265,capture,https://www.uvlist.net/game-180824-Capture,1988,Ahoy!,C64
25266,capture,https://www.uvlist.net/game-197006-Capture,1983,Honeysoft,MicroBee
25267,capture,https://www.uvlist.net/game-242704-Capture,19??,?,Commodore PET
25268,capture,https://www.uvlist.net/game-247074-Capture,1988,author,MS-DOS
25269,capture,https://www.uvlist.net/game-253856-Capture,1978,Taylor,TRS-80
25270,capture 2,https://www.uvlist.net/game-236849-Capture+2,2002,TND Games,C64
25271,capture the enemy space ship,https://www.uvlist.net/game-231273-Capture+the+Enemy+Space+Ship,1982,International PC Owners,MS-DOS
25272,capture the flag,https://www.uvlist.net/game-180531-Capture+the+Flag,1983,Sirius Software,Atari 400/800
25273,capture the flag,https://www.uvlist.net/game-186085-Capture+the+Flag,1992,Carr Software,MS-DOS
25274,capture the flag,https://www.uvlist.net/game-252137-Capture+the+Flag,?,Sirius Software,Apple II E
25275,capture the flag,https://www.uvlist.net/game-255251-Capture+the+Flag,1998,author,TI Calculators
25276,capture the flag,https://www.uvlist.net/game-266082-Capture+the+Flag,1983,Sirius Software,VIC-20
25277,capture the intruder,https://www.uvlist.net/game-201945-Capture+The+Intruder,1983,CMS Systems,TI99
25278,capture the quark,https://www.uvlist.net/game-255252-Capture+The+Quark,1983,Granada Publishing ,BBC
25279,capture!,https://www.uvlist.net/game-242705-Capture,1980,Cursor Magazine,Commodore PET
25280,capture!,https://www.uvlist.net/game-251463-Capture,1980,Code Works,Commodore PET
25281,captured,https://www.uvlist.net/game-34477-Captured,1986,Action Software;American Action ,C64
25282,captured ,https://www.uvlist.net/game-231395-Captured,?,1684soft,Android
25283,captured by pirates!,https://www.uvlist.net/game-106987-Captured+by+Pirates,1992,PCT,MS-DOS
25284,capucine,https://www.uvlist.net/game-163041-Capucine,2008,? ,Wii
25285,capybara madness,https://www.uvlist.net/game-272589-Capybara+Madness,2023,Weakfish Studio,Switch
25286,car,https://www.uvlist.net/game-237781-Car,2008,author,TRS-80
25287,car,https://www.uvlist.net/game-244894-Car,1987,author,MS-DOS
25288,car ,https://www.uvlist.net/game-102966-Car,1989,author,Amiga
25289,car & driver ,https://www.uvlist.net/game-42816-Car+Driver,1992,Electronic Arts ,MS-DOS
25290,car 128,https://www.uvlist.net/game-166306-Car+128,?,?,C128
25291,car and driver presents: grand tour racing '98 ,https://www.uvlist.net/game-11537-Car+and+Driver+Presents+Grand+Tour+Racing+98,1997,Ocean;Activision;Atlus ,PS
25292,car arena,https://www.uvlist.net/game-184221-Car+Arena,?,IzE_Design,Linux
25293,car battler joe ,https://www.uvlist.net/game-154302-Car+Battler+Joe,2002,Victor;Natsume ,GBA
25294,car builder,https://www.uvlist.net/game-169472-Car+Builder,1989,Optimum Resource,MS-DOS
25295,car builder,https://www.uvlist.net/game-252138-Car+Builder,1985,Weekly Reader ,Apple II E
25296,car chase,https://www.uvlist.net/game-41104-Car+Chase,1981,Commodore,VIC-20
25297,car chase,https://www.uvlist.net/game-172551-Car+Chase,1986,Robtek,C16/Plus4
25298,car chase,https://www.uvlist.net/game-205446-Car+Chase,1987,author,C64
25299,car chase,https://www.uvlist.net/game-231382-Car+Chase,1982,Simon Micro-Soft,ZX Spectrum
25300,car chase ,https://www.uvlist.net/game-174097-Car+Chase,1983,Champion Soft,MICRO 7 - FM7
25301,car crash,https://www.uvlist.net/game-220525-Car+Crash,1986,Initiel,EXL 100
25302,car crash ,https://www.uvlist.net/game-174359-Car+Crash,1983,Nihon Maikon Gakuin,MICRO 7 - FM7
25303,car crash racing,https://www.uvlist.net/game-230540-Car+Crash+Racing,2015,Team Awesome,TizenOS
25304,car dealer driver,https://www.uvlist.net/game-277468-Car+Dealer+Driver,2022,BoomHits,Switch
25305,car dodger,https://www.uvlist.net/game-246390-Car+Dodger,?,?,Apple II E
25306,car factory driver,https://www.uvlist.net/game-272679-Car+Factory+Driver,2023,BoomHits,Switch
25307,car fighter,https://www.uvlist.net/game-16359-Car+Fighter,1985,Casio,MSX
25308,car game 2.2,https://www.uvlist.net/game-265649-Car+Game+2.2,?,Adam Ladds,Mac OS Classic
25309,car hunt,https://www.uvlist.net/game-2044-Car+Hunt,1979,Sega,Arcade
25310,car jack streets,https://www.uvlist.net/game-175042-Car+Jack+Streets,2009,? ,iOS
25311,car jack streets,https://www.uvlist.net/game-198097-Car+Jack+Streets,2010,Tag Games,Nintendo DS
25312,car jamboree,https://www.uvlist.net/game-96845-Car+Jamboree,1983,Omori,Arcade
25313,car jamboree ,https://www.uvlist.net/game-231396-Car+Jamboree,1984,Sony ,MSX
25314,car journey,https://www.uvlist.net/game-199589-Car+Journey,1984,Hill MacGibbon ,C64
25315,car journey ,https://www.uvlist.net/game-12360-Car+Journey,1983,Hill MacGibbon;Heinemann ,ZX Spectrum
