,Name,Link,Year,Publisher,Platform
152,shin seiki evangelion: ayanami ikusei keikaku with asuka hokan keikaku ,https://www.uvlist.net/game-170378-Shin+Seiki+Evangelion+Ayanami+Ikusei+Keikaku+with+Asuka+Hokan+Keikaku,2003,Gainax ,PS2
153,shin seiki evangelion: ayanami rei ikusei keikaku ,https://www.uvlist.net/game-152670-Shin+Seiki+Evangelion+Ayanami+Rei+Ikusei+Keikaku,2002,Gainax ,Dreamcast
154,shin seiki evangelion: ayanami rei ikusei keikaku ,https://www.uvlist.net/game-170377-Shin+Seiki+Evangelion+Ayanami+Rei+Ikusei+Keikaku,2001,Gainax ,Windows
155,shin seiki evangelion: battle orchestra ,https://www.uvlist.net/game-170384-Shin+Seiki+Evangelion+Battle+Orchestra,2007,Bandai ,PS2
156,shin seiki evangelion: kōtetsu no girlfriend ,https://www.uvlist.net/game-39963-Shin+Seiki+Evangelion+Kotetsu+no+Girlfriend,1998,Bandai ,Windows
157,shin seiki evangelion: kōtetsu no girlfriend ,https://www.uvlist.net/game-104908-Shin+Seiki+Evangelion+Kotetsu+no+Girlfriend,1998,Gainax,PS
158,shin seiki evangelion: kōtetsu no girlfriend ,https://www.uvlist.net/game-162511-Shin+Seiki+Evangelion+Kotetsu+no+Girlfriend,1998,Sega ,Saturn
159,shin seiki evangelion: kōtetsu no girlfriend 2nd ,https://www.uvlist.net/game-161360-Shin+Seiki+Evangelion+Kotetsu+no+Girlfriend+2nd,1998,Gainax,Windows
160,shin seiki evangelion: kōtetsu no girlfriend 2nd ,https://www.uvlist.net/game-170380-Shin+Seiki+Evangelion+Kotetsu+no+Girlfriend+2nd,2005,Gainax ,PS2
161,shin seiki evangelion: kōtetsu no girlfriend 2nd ,https://www.uvlist.net/game-170381-Shin+Seiki+Evangelion+Kotetsu+no+Girlfriend+2nd,1998,Gainax,Mac OS Classic
162,shin seiki evangelion: kōtetsu no girlfriend special edition ,https://www.uvlist.net/game-170382-Shin+Seiki+Evangelion+Kotetsu+no+Girlfriend+Special+Edition,2006,Gainax,PS2
163,shin seiki evangelion: typing e-keikaku ,https://www.uvlist.net/game-161366-Shin+Seiki+Evangelion+Typing+E+Keikaku,2001,Artdink,PS2
164,shin seiki evangerion: ikari shinji ikusei keikaku ,https://www.uvlist.net/game-170379-Shin+Seiki+Evangerion+Ikari+Shinji+Ikusei+Keikaku,2004,Gainax,Windows
